,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,COD,Dominio ITS,Descripción del Ámbito,,Cod,Área de Servicio (AS),Descripción,,Cod,Servicios Estratégicos ITS,Categoría de Servicio ITS,,Cod,Sigla (Estándar Internacional ITS/ISO),Subsistema ITS,Descripción Técnica y Operativa (Alcance Exhaustivo),,COD,Nombre de función,Descripción de la función,,COD,Sigla (Estándar Internacional),Nombre del Componente de Campo,Capacidad Operativa Generada
3,,DOM-01,Gestión de Tráfico,"Planificación, control y optimización del flujo vehicular y la capacidad vial.",,AS-01,Gestión de Incidentes y Eventos,"Conjunto de capacidades destinadas a la detección automática, validación y respuesta coordinada ante anomalías en la vía (accidentes, vehículos detenidos, obstáculos). Su objetivo es minimizar el tiempo de despeje y prevenir siniestros secundarios.",,SE-ITS-1,Servicio de suministro de información de tráfico,Servicio ITS Prioritario (PMITS),,SUB-01,TMS (Traffic Management System),Gestión de Tráfico,"Plataforma central para el monitoreo de flujos, niveles de servicio (LOS) y ejecución de planes de tráfico dinámicos.",,F-01,Gestión de datos adicionales,"Recopila, actualiza y almacena información adicional, como información local, información relacionada con la vida, etc.",,CC-01,CCTV,Vigilancia por Video,Supervisión Visual Continua: Capacidad de observar y verificar el estado real de la infraestructura en tiempo real.
4,,DOM-02,Gestión de Emergencias,"Coordinación de respuestas ante incidentes, siniestros y desastres en el corredor.",,AS-02,Información al Viajero,"Área encargada de la difusión de datos dinámicos y alertas en tiempo real a través de canales directos (Paneles de Mensajería Variable - PMV) e indirectos (App, Web, APIs). Facilita la toma de decisiones informada del usuario durante su trayecto.",,SE-ITS-2,Servicio de pago electrónico vehicular de la tasa de peajes,Servicio ITS Prioritario (PMITS),,SUB-02,TIS (Traveler Information System),Suministro de Información,Difusión de contenidos hacia PMV y canales digitales con soporte multimodal (Peatones/Ciclistas).,,F-02,Gestión de datos de tráfico integrado,La información del tráfico por carretera y la información del transporte público se gestionan de manera integrada.,,CC-02,AID,Detección de Incidentes,Identificación Proactiva de Peligros: Capacidad de alertar automáticamente sobre eventos disruptivos sin depender del ojo humano.
5,,DOM-03,Información al Viajero,Suministro de datos para la toma de decisiones antes y durante el viaje.,,AS-03,Operación de Tráfico y Movilidad,"Centrada en el monitoreo constante del flujo vehicular, conteo, clasificación y medición de velocidades medias. Busca optimizar la capacidad operativa de la infraestructura y gestionar los niveles de servicio del corredor.",,SE-ITS-3,Servicio de suministro de información de transporte público,Servicio ITS Prioritario (PMITS),,SUB-03,EMS (Emergency Management System),Gestión de Emergencias,Módulo de gestión de incidentes (IMS) que automatiza protocolos de respuesta y coordina el despacho de auxilio.,,F-03,Gestión de datos de la red vial.,El diseño geométrico de las carreteras y los datos de las instalaciones se actualizan y gestionan.,,CC-03,DMS / VMS,Mensajería Variable,Difusión Masiva de Información: Capacidad de comunicar mensajes estratégicos y alertas directamente al conductor en vía.
6,,DOM-04,Seguridad y Cumplimiento,"Vigilancia normativa, control de infracciones y protección de la vida.",,AS-04,Recaudo y Gestión de Peajes,"Agrupa la lógica de procesamiento de transacciones financieras, tanto manuales como electrónicas (Telepeaje). Gestiona la interoperabilidad, el paso por carriles y la auditoría de tráfico en las estaciones de recaudo.",,SE-ITS-4,Servicio de gestión de siniestros viales inesperados,Servicio ITS Prioritario (PMITS),,SUB-04,VMS (Video Management System),Gestión de Video,"Administración de flujos de video, grabación, procesamiento de analítica DAI y visualización en Video Wall.",,F-04,Detección de vehículos,Se detecta el estado de los vehículos.,,CC-04,ECS / SOS,Llamada de Emergencia,Auxilio Inmediato al Usuario: Capacidad de establecer un canal de voz crítico para asistencia en situaciones de crisis.
7,,DOM-05,Recaudo y Pagos,Gestión de transacciones financieras por el uso de la infraestructura.,,AS-05,Seguridad Vial y Cumplimiento,"Área dedicada al control normativo y sancionatorio. Incluye sistemas de foto-detección de infracciones (velocidad, giros) y el pesaje dinámico (WIM) para proteger la integridad de la carpeta asfáltica y la seguridad de los usuarios.",,SE-ITS-5,Servicio de control de infracción de exceso de velocidad,Servicio ITS Prioritario (PMITS),,SUB-05,EFC (Electronic Fee Collection),Recaudo Electrónico,"Back-office encargado del peaje interoperable (IPyG), validación de TAGs y gestión de transacciones.",,F-05,Procesamiento de datos de detección de vehículos,"Los datos recopilados de los detectores individuales se procesan, agregan y convierten a los datos de la sección de la carretera.",,CC-05,VDS / TDS,Contadores de Tráfico,Caracterización Dinámica del Flujo: Capacidad de cuantificar y clasificar el volumen vehicular para decisiones operativas.
8,,DOM-06,Gestión de Infraestructura,Monitoreo de la salud de activos físicos y condiciones ambientales.,,AS-06,Mantenimiento y Clima,"Encargada del monitoreo de variables meteorológicas adversas (niebla, lluvia, vientos) y de la salud de los activos físicos. Permite una gestión proactiva de la infraestructura basada en condiciones ambientales reales.",,SE-ITS-6,Servicio de apoyo a la administración de vehículos de carga,Servicio ITS Prioritario (PMITS),,SUB-06,AMS (Asset Management System),Gestión de Infraestructura,"(Geotecnia/Urbanismo): Control de actuadores (bombas) y telemetría de salud de taludes, puentes y pavimentos.",,F-06,Gestión de datos de identificación de vehículos,Se identifican los vehículos de la sonda y se gestiona la información.,,CC-06,ESS / RWIS,Sensores Ambientales,Monitoreo de Condiciones Climáticas: Capacidad de medir variables del entorno que afectan la seguridad y la visibilidad.
9,,,,,,,,,,SE-ITS-7,Monitoreo ambiental y meteorológico,Servicio ITS Prioritario (PMITS),,SUB-07,CVO (Commercial Vehicle Operations),Gestión de Carga,"Sistema de control de pesos y dimensiones que orquesta WIM, Básculas Estáticas y Preselección.",,F-07,Reconocimiento de la ubicación de vehículos,Se recopilan datos para el reconocimiento de la ubicación del vehículo.,,CC-07,WIM,Pesaje Dinámico,Control de Carga en Movimiento: Capacidad de monitorear pesos vehiculares por eje sin interrumpir la fluidez del tránsito.
